epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.796,2.40575,5.89928,0.53075,2.39759,2.04654,0.43856,0.33336,0.31321,0.13203,0.12698,0.08605,0.03254,0.00701,2.11054,4.76702,0.45681,2.23896,1.87191,0.000664884,0.000664884,0.000664884
2,379.768,1.91866,5.11012,0.45198,1.86503,1.66525,0.42247,0.34473,0.32271,0.14597,0.1952,0.12151,0.05921,0.01436,1.99289,4.52204,0.43849,2.20918,1.75371,0.00131837,0.00131837,0.00131837
3,566.149,1.82698,4.84211,0.44091,1.77239,1.5972,0.48983,0.40652,0.3955,0.1847,0.25319,0.15061,0.07671,0.01761,1.85776,4.25918,0.41878,2.0844,1.66665,0.00195865,0.00195865,0.00195865
4,752.333,1.77513,4.73104,0.43582,1.71792,1.56661,0.54355,0.40222,0.42426,0.20999,0.31479,0.17676,0.10911,0.02863,1.7942,4.07752,0.39961,1.77679,1.61422,0.0019406,0.0019406,0.0019406
5,937.857,1.70778,4.55784,0.42237,1.64806,1.51957,0.61204,0.42917,0.47726,0.24332,0.41985,0.20362,0.16216,0.04863,1.75742,3.86907,0.39599,1.63387,1.57722,0.0019208,0.0019208,0.0019208
6,1122.39,1.67362,4.49077,0.41382,1.61256,1.50918,0.60896,0.44315,0.489,0.25722,0.40567,0.2209,0.17036,0.0492,1.69729,3.77997,0.38382,1.603,1.54851,0.001901,0.001901,0.001901
7,1307.9,1.64475,4.39234,0.41338,1.57025,1.48026,0.62593,0.43856,0.48962,0.2577,0.4174,0.20913,0.15426,0.04386,1.67647,3.73977,0.39812,1.58695,1.5086,0.0018812,0.0018812,0.0018812
8,1493.51,1.6121,4.25362,0.4026,1.51717,1.45664,0.60002,0.4435,0.4907,0.25667,0.43741,0.23111,0.1808,0.05502,1.70649,3.57959,0.36113,1.6097,1.53584,0.0018614,0.0018614,0.0018614
9,1679.17,1.59037,4.22671,0.3955,1.50083,1.44085,0.6683,0.45809,0.52292,0.2859,0.47692,0.23558,0.18684,0.05674,1.62063,3.66046,0.37322,1.46884,1.47119,0.0018416,0.0018416,0.0018416
10,1863.24,1.55865,4.14993,0.38531,1.45509,1.42233,0.6704,0.47426,0.54522,0.30672,0.48774,0.2498,0.20828,0.06379,1.56137,3.42943,0.35103,1.42118,1.44247,0.0018218,0.0018218,0.0018218
11,2047.35,1.54749,4.12487,0.37859,1.44137,1.41982,0.67655,0.48397,0.54963,0.3049,0.50591,0.2491,0.21047,0.06656,1.57466,3.43649,0.35036,1.43074,1.43371,0.001802,0.001802,0.001802
12,2230.61,1.53509,4.09084,0.3832,1.43451,1.40916,0.67958,0.48254,0.55239,0.31007,0.48577,0.25851,0.21747,0.07218,1.57971,3.4,0.35322,1.40139,1.43652,0.0017822,0.0017822,0.0017822
13,2415.5,1.51879,4.0586,0.37939,1.42586,1.40252,0.67643,0.4882,0.55152,0.31008,0.52655,0.27131,0.24293,0.08313,1.55397,3.31673,0.34632,1.40092,1.42287,0.0017624,0.0017624,0.0017624
14,2601.18,1.51881,4.03092,0.3772,1.40304,1.39623,0.68114,0.49235,0.56488,0.32366,0.54541,0.27803,0.25377,0.08634,1.52236,3.28138,0.33992,1.34971,1.39374,0.0017426,0.0017426,0.0017426
15,2788.4,1.50607,3.96281,0.37186,1.38857,1.38538,0.69827,0.49959,0.57359,0.32573,0.55332,0.27686,0.24607,0.08799,1.54148,3.22476,0.33183,1.3295,1.40813,0.0017228,0.0017228,0.0017228
16,2975.64,1.48993,3.85642,0.36697,1.36108,1.37417,0.70216,0.49861,0.57314,0.3215,0.55158,0.28089,0.2487,0.08279,1.54713,3.24014,0.34301,1.34124,1.41993,0.001703,0.001703,0.001703
17,3164.46,1.47109,3.85781,0.36484,1.34878,1.36457,0.68048,0.50349,0.57625,0.32756,0.5512,0.27328,0.24741,0.08869,1.51793,3.20685,0.34183,1.37324,1.41412,0.0016832,0.0016832,0.0016832
18,3349.46,1.45894,3.83571,0.35854,1.33813,1.3589,0.68945,0.50376,0.57829,0.33536,0.55535,0.28585,0.25594,0.09068,1.48062,3.18703,0.33922,1.30315,1.36476,0.0016634,0.0016634,0.0016634
19,3533.83,1.45444,3.84144,0.35953,1.32406,1.35645,0.71419,0.51083,0.59059,0.34789,0.55164,0.29567,0.25743,0.09173,1.46259,3.09997,0.34406,1.27146,1.35383,0.0016436,0.0016436,0.0016436
20,3720.83,1.45329,3.78642,0.36207,1.31524,1.34947,0.70313,0.518,0.59495,0.35524,0.57322,0.29504,0.27746,0.09948,1.45446,3.0808,0.32281,1.25363,1.3424,0.0016238,0.0016238,0.0016238
21,3918.29,1.45538,3.76592,0.35767,1.32241,1.34823,0.71829,0.52274,0.60476,0.35624,0.60021,0.30587,0.28445,0.10235,1.45626,3.04154,0.32851,1.22084,1.35131,0.001604,0.001604,0.001604
22,4104.05,1.43903,3.72394,0.35624,1.30097,1.33976,0.72106,0.52883,0.60742,0.35998,0.60553,0.30748,0.28915,0.10849,1.46396,3.00183,0.32037,1.22713,1.34947,0.0015842,0.0015842,0.0015842
23,4290.06,1.42168,3.72,0.35575,1.27931,1.33115,0.71523,0.51854,0.60233,0.35685,0.58314,0.30372,0.27545,0.10354,1.44077,3.01761,0.33323,1.23485,1.34663,0.0015644,0.0015644,0.0015644
24,4473.35,1.41551,3.6941,0.35233,1.27764,1.32822,0.72123,0.52221,0.60776,0.36471,0.58973,0.31507,0.29648,0.11257,1.41661,2.97157,0.32093,1.21835,1.32572,0.0015446,0.0015446,0.0015446
25,4656.43,1.40622,3.60853,0.34975,1.25682,1.32403,0.72285,0.51862,0.60613,0.36229,0.59377,0.30286,0.2815,0.10587,1.42352,2.97056,0.33079,1.23021,1.32053,0.0015248,0.0015248,0.0015248
26,4838.79,1.41054,3.64928,0.34871,1.26188,1.32612,0.72225,0.52808,0.61334,0.37068,0.5922,0.31814,0.2925,0.11243,1.40729,2.91974,0.31872,1.19948,1.32149,0.001505,0.001505,0.001505
27,5021.05,1.39791,3.60602,0.34801,1.23943,1.31315,0.72329,0.53125,0.6148,0.36437,0.57814,0.31411,0.28776,0.1079,1.42969,2.96468,0.31748,1.20368,1.33007,0.0014852,0.0014852,0.0014852
28,5202.27,1.38818,3.56995,0.34295,1.2444,1.30381,0.7539,0.53598,0.62741,0.37708,0.59077,0.32342,0.29925,0.11607,1.40762,2.88011,0.31267,1.16166,1.3088,0.0014654,0.0014654,0.0014654
29,5383.09,1.38421,3.55108,0.34348,1.23501,1.30309,0.72211,0.54097,0.62387,0.3788,0.62944,0.32074,0.30756,0.11741,1.3807,2.90258,0.32438,1.16244,1.2929,0.0014456,0.0014456,0.0014456
30,5563.89,1.40097,3.52974,0.34312,1.23904,1.31092,0.73721,0.53856,0.62651,0.3818,0.6326,0.33417,0.31854,0.12664,1.39216,2.84043,0.31003,1.16093,1.30294,0.0014258,0.0014258,0.0014258
