epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.698,3.66401,8.20253,5.73035,4.22862,0.00059,0.00469,0.00032,7e-05,0,0,0,0,3.47541,5.627,5.31047,4.13426,3.95099e-05,3.95099e-05,3.95099e-05
2,303.88,3.52014,5.16672,5.55817,3.97859,0.00058,0.00605,0.00039,0.0001,0.00028,0.00311,0.00023,4e-05,3.26271,5.0508,4.94034,3.74101,7.83927e-05,7.83927e-05,7.83927e-05
3,452.584,3.32083,5.05858,5.24257,3.63475,0.00028,0.00818,0.00029,9e-05,0.00019,0.00441,0.00011,3e-05,3.14065,4.98029,4.72364,3.4812,0.00011649,0.00011649,0.00011649
4,600.659,3.15974,4.99668,5.00591,3.37591,0.00126,0.00902,0.00083,0.00023,0.00324,0.00663,0.00231,0.00065,3.00775,4.92418,4.5031,3.28355,0.000115466,0.000115466,0.000115466
5,749.521,3.0087,4.93583,4.79313,3.14158,0.00096,0.01154,0.00078,0.00039,0.00091,0.00745,0.00064,0.00021,2.8985,4.88071,4.38904,3.13229,0.000114288,0.000114288,0.000114288
6,898.002,2.86517,4.88992,4.65264,2.95023,0.00127,0.01728,0.0012,0.00047,0.00091,0.01177,0.00084,0.00029,2.83157,4.83436,4.3166,3.00856,0.00011311,0.00011311,0.00011311
7,1046.46,2.75809,4.84381,4.53943,2.79295,0.00131,0.02652,0.0013,0.00039,0.00107,0.01762,0.00084,0.00028,2.72243,4.77316,4.22238,2.83139,0.000111931,0.000111931,0.000111931
8,1194.56,2.66768,4.77574,4.44448,2.6767,0.0092,0.04135,0.00803,0.00329,0.00738,0.02753,0.00677,0.00258,2.63827,4.72893,4.13184,2.74965,0.000110753,0.000110753,0.000110753
9,1342.7,2.57946,4.72238,4.35598,2.58364,0.00271,0.04961,0.00438,0.0018,0.00249,0.03688,0.00312,0.0009,2.57734,4.68812,4.07062,2.66484,0.000109575,0.000109575,0.000109575
10,1491.27,2.51511,4.70019,4.26857,2.51147,0.0051,0.066,0.00591,0.00242,0.00483,0.05123,0.00512,0.00188,2.50777,4.64849,4.04406,2.60278,0.000108397,0.000108397,0.000108397
11,1639.76,2.457,4.66432,4.21859,2.45138,0.00364,0.07568,0.00644,0.0027,0.00316,0.05596,0.00506,0.00181,2.46781,4.6138,3.96816,2.55101,0.000107219,0.000107219,0.000107219
12,1788.46,2.43068,4.6325,4.15484,2.40518,0.62256,0.00696,0.00674,0.00262,0.62026,0.00517,0.00447,0.00157,2.43683,4.59283,3.96228,2.51625,0.000106041,0.000106041,0.000106041
13,1936.98,2.38772,4.62288,4.12851,2.36405,0.65429,0.00928,0.00784,0.00307,0.65173,0.0063,0.00515,0.00167,2.42141,4.56493,3.89731,2.47334,0.000104863,0.000104863,0.000104863
14,2086.86,2.36352,4.58128,4.08956,2.34041,0.60727,0.00741,0.00844,0.00344,0.60527,0.00553,0.00593,0.00193,2.38075,4.53305,3.87054,2.42644,0.000103685,0.000103685,0.000103685
15,2235.48,2.34325,4.56355,4.04881,2.31145,0.64817,0.00971,0.01324,0.00532,0.66041,0.00729,0.01084,0.00421,2.3733,4.52801,3.82363,2.39202,0.000102507,0.000102507,0.000102507
16,2384.33,2.3267,4.54779,4.00824,2.28792,0.64258,0.01138,0.01182,0.0049,0.65615,0.00883,0.00855,0.00295,2.3488,4.5046,3.81215,2.39015,0.000101329,0.000101329,0.000101329
